,Reviews,Labels
0,"['best', 'romant', 'film', 've', 'ever', 'seen']",1
1,"['intrigu', 'adventur', '', 'still', 'miss', 'littl', 'someth', '']",1
2,"['movi', 'fan', 'servic', 'experi', 'futur', 'film']",1
3,"['almost', 'good', '2011', 'movi', '']",-1
4,"['soni', 'need', 'stop', 'make', 'superhero', 'content']",-1
5,"['review', 'got', 'delet', '', '', 'said', 'bad', '', '']",0
6,"['ordinari', '', 'noth', 'extra']",0
7,"['ok', '', 'll', 'confess', '', 'movi', 'definit', 'junk', 'food', 'mind', '', 'like', 'eat', 'twinki', '', 'fun', 'watch']",0
8,"['miss', 'old', 'fast', 'furiou']",-1
9,"['loud', '', 'dumb', 'execut', 'enough', 'flair', 'momentum', 'bore', '', 'hitman', '', 'reboot', 'passabl', 'divers']",0
10,"['stoic', '', 'haunt', 'tale', 'surviv']",0
11,"['good', 'fast', 'pace', 'action', 'movi', '']",1
12,"['cute', 'littl', 'movi']",1
13,"['spi', 'satir', 'gamestyl', 'stori']",1
14,"['one', 'best', 'sequel', 'ever', 'made']",0
15,"['speed', '2', '', 'snooz', 'control']",-1
16,"['liter', 'thought', 'parodi', 'skit', 'snl', '']",-1
17,"['panach', 'elan']",0
18,"['krypto', 'movi', 'need', 'made']",1
19,"['insult', 'millennium', 'seri']",-1
20,"['still', 'good', '', 'good', '']",0
21,"['good', 'idea', '', 'aw', 'execut']",0
22,"['good', 'peopl', '', 'stori', '', 'money', '', '', '', '5', 'stori', 'adapt']",-1
23,"['bold', 'imagin', 'beauti', 'execut', 'exhilar', 'car', 'chase', 'ever', 'done', 'film', 'make', 'unequivoc', 'franchis', 'best', 'thu', 'far']",1
24,['guess'],0
25,"['milli', 'usual', 'good', 'job', 'transfix', 'viewer', 'keep', 'entertain', '']",1
26,"['pygmalionstein', '']",0
27,"['messi', 'web', 'mediocr']",-1
28,"['throw', 'thing', 'wall', 'bad']",-1
29,"['along', 'tim', 'burton', 's', 'batman', 'return', 'best', 'batman', 'movi', 'date', '']",1
30,"['ye', 'stupid', 'funni', '']",0
31,"['funni', 'nostalg', 'adventur']",1
32,"['hilari', '', 'stupid', '', 'lot', 'fun', '']",1
33,"['funni', '', 'funni', 'movi', '', 'rachel', 'mcadam', 'great', '']",1
34,"['uggghhhh', '', 'funni', '', 's', 'depress', '']",-1
35,"['pinnacl', 'flawless', 'film', '']",0
36,"['stay', 'away', 'garbag', 'cost', '', '', '']",-1
37,"['charm', 'film', '', 'good', 'whole', 'famili', '']",1
38,"['expect', 'unexpect', '', 'love', 'movi']",0
39,"['roberto', 'benigni', 'geniu']",0
40,"['phenomen', 'fight', 'choreographi', 'cinematographi', '']",0
41,"['good', 'forgett', '', 'read', 'book', 'vs', '', '']",0
42,"['overnight', 'viral', 'sensat', '']",1
43,"['rebel', 'moon', '', 'part', '1', '', 'child', 'fire', '', '2023', '', 'zack', 'snyder', '', 'stylist', 'good', '', 'predict', '', 'basic', 'sci', 'fi', 'plot', '', 'need', 'better', 'stori']",0
44,"['true', 'classic', '', 'comedi', 'way', '', 'funni']",1
45,"['', 'mib', '', '', 'never', 'ask', '']",-1
46,"['get', 'spend', '', '120000000', 'make', 'film', '', '']",1
47,"['nt', 'rent', 'shawshank', '']",1
48,"['one', 'overhyp', 'movi', 'ever', 'watch', '']",0
49,"['bummer', '']",-1
50,"['watch', 'trailer', 'coupl', 'time', '', 's', 'entir', 'movi', '', '', 'realli', '']",-1
51,['multipaw'],1
52,"['absolut', 'batman', 'anim', 'movi', 'time']",1
53,"['insan', 'stupid', 'script']",-1
54,"['new', 'investig', 'elona', 'holm', '']",0
55,"['worst', 'one', 'yet', '']",-1
56,"['thought', 'decent']",0
57,"['go', 'see', 'might', 'surpris']",0
58,"['color', 'choic', '', 'geniu']",0
59,"['want', '', 'capabl', 'writer']",0
60,"['miss', '', 'magic', '', 'first', '', 'still', 'entertain']",0
61,"['complet', 'garbag']",-1
62,"['everyth', 've', 'ever', 'heard', 'true', '']",1
63,"['empathi', 'weak']",0
64,"['small', 'movi', 'big', 'heart', 'highli', 'underr']",1
65,"['movi', 'made']",-1
66,"['best', 'portray', 'dark', 'knight', '']",1
67,"['averag', 'action', 'movi', '', 'noth', 'noth', 'less']",0
68,"['great', 'anim', 'movi']",1
69,"['dull', '', 'cheap', 'near', 'prequel']",-1
70,"['except', 'pair', 'dice', 'random', '', 'gi', '', 'joe', '', 'label', '', 'assembl', 'everi', 'clich', '', 'sloppili', 'present', '']",-1
71,"['magnific', 'portrait', 'organ', 'crime']",1
72,"['big', 'bounc', 'three', 'deep', 'blue', 'crush', 'sunset']",0
73,"['fun', '', 'charact', 'driven', 'movi', 'work', '', 'even', 'fault', 'definit']",1
74,"['state', 'art', 'effect', '', 'hole', 'swiss', 'chees']",0
75,"['great', 'music', 'peopl', 'nt', 'like', 'music', '']",0
76,"['great', 'influenc', '']",0
77,"['great', 'movi']",0
78,"['blackest', 'night']",0
79,"['anoth', 'american', 'miss']",-1
80,"['alltim', 'prison', 'film', 'classic']",1
81,"['well', 'deserv', 'box', 'offic', 'failur', '']",0
82,"['grimsbi', 'funni', 'one', '']",1
83,"['play', 'game', '', 'still', 'nt', 'like', 'movi', '']",-1
84,"['averag', 'best']",1
85,"['absolut', 'horribl', 'adapt', 'fantast', 'book', '']",0
86,"['pleasantli', 'surpris']",1
87,"['enjoy', 'piec', 'fluff']",0
88,"['way', 'underappreci', 'popcorn', 'flick']",1
89,"['lame', 'men', 'black', 'ripoff', 'sloppiest', 'script', 'ever']",-1
90,"['nostalg', 'meta', 'dumpster', 'fire', 'cash', 'grab', 'disney']",1
91,"['s', 'everi', 'man', '', 'old', 'bag', '', '']",0
92,"['autist', 'review', 'opinion', 'movi', '']",-1
93,['disappoint'],-1
94,"['strang', '', 'touch', 'beauti']",0
95,"['funni', 'disturb']",-1
96,"['4', 'star', 'goe', 'tokyo']",-1
97,"['still', 'nt', 'understand', 'lee', 'john', 'wick', 'univers', 'yet']",0
98,"['anoth', 'kind', '', 'famili', 'movi', '']",1
99,['entertain'],0
100,"['ca', 'nt', 'speak', 'origin', 'sub', '', 'dub', 'version', 'bad', 'movi']",-1
101,"['unconvent', 'mind']",-1
102,"['keep', 'come']",1
103,"['nonsens', 'plot', 'accompani', 'visual', 'splendor', 'world', 's', 'extrem', 'corner', '']",-1
104,"['classic', 'epic', 'comedi', 'much', 'edit']",1
105,"['initi', '', 'nt', 'fan', '', 'realis']",1
106,"['', 'make', 'plan', '', 'life', 'never', 'work', 'way', '', '']",-1
107,"['', '']",-1
108,"['among', 'finest', 'western', '', 'though', 'tast']",0
109,"['technic', 'marvel']",0
110,"['slow', 'part', '', 'entertain', 'overal']",0
111,"['number', '6', 'winner']",1
112,"['walk', 'clich', '']",-1
113,"['fantast', 'fadein', 'fadeout', '', '', '']",1
114,"['slick', '', 'smart', '', 'slim']",1
115,['disappoint'],0
116,"['wild', '', 'crazi', 'ride']",0
117,['expect'],0
118,"['forgot', 'concept', 'stori', '']",-1
119,"['insan', 'brilliant', '', 'nolan', 'outdon', '', '']",0
120,"['well', 'made', 'movi', '', 'decent', 'act', 'perform', '', 'let', 'implaus', 'charact', 'plot', 'turn']",-1
121,"['predict', '', 'deriv', '', 'uninspir']",1
122,"['movi', 'treasur', '', '', '', '', '']",1
123,"['batman', 'mask', 'phantasm', '', 'nt', 'see', 'appeal']",-1
124,"['nitro', 'glycerin']",0
125,"['ballad', 'songbird', '', 'snake', '', '2023', '', 'deliv', 'basic', '', 'evolv']",0
126,"['spoilerfre', 'review']",0
127,"['eye', 'candi', 'nobrain', 'fun', 'watch']",1
128,"['read', 'book', '']",0
129,"['bad', '', 'get', '']",1
130,"['surprisingli', '', 's', 'bad', '', 'guy']",0
131,"['entertain', 'thriller']",-1
132,"['end', 'road', 'begin', 'badli']",-1
133,"['bit', 'lost']",0
134,"['', 'aveng', '', 'meet', '', 'fast', 'furiou', '', 'everyth', 'goe', 'wrong']",-1
135,"['yeah', 's', 'pretti', 'averag']",0
136,"['still', 'funni', 'lot', 'recycl', 'gag', 'first', 'film']",1
137,"['shawshank', 'redeem', 'hollywood']",1
138,"['scifi', 'perfect', '', 'truli', 'mesmer', 'film', '']",0
139,"['evil', 'audaci', '', '', '']",-1
140,"['great', 'cast', '', 'pretti', 'aw', 'movi']",-1
141,"['simpli', 'terribl', '']",0
142,"['get', 'made', '']",0
143,['measur'],1
144,"['janney', 'steal', 'show', '']",0
145,"['week', 's', 'femal', 'assassin']",-1
146,"['bad', 'nt', 'success', 'enough', 'warrrant', 'sequel']",1
147,"['rate', 'could', 'neg', 'number', '']",-1
148,"['amaz', 'heroin']",0
149,"['anim', 'gem', '']",1
150,"['solid', 'entertain']",0
151,"['pet', 'take', 'hero']",1
152,"['uncanni', 'valley']",1
153,"['nerv', '', 'good', 'concept', '', 'poor', 'execut']",0
154,"['felt', 'like', 'aquaman', 'day', 'disneyland', 'go', 'differ', 'kind', 'movi', 'theme', 'ride']",0
155,"['anoth', 'gener', 'hitman', 'stori', 'bad', 'action', '']",1
156,"['8', '12', '10', '', 's', 'good', '']",1
157,"['left', 'furiou']",-1
158,"['dark', 'knight']",0
159,"['favorit', 'batman', 'movi']",1
160,"['weak', 'vehicl']",-1
161,"['oh', 'man', '', 'soooooo', 'hilari', '', '', '']",1
162,"['slow', '', 'depth', '', 'snake', 'eye']",-1
163,"['funni', 'hell']",1
164,"['rate', 'higher', '']",1
165,"['annoy', 'music', 'video', '', 'girl', 'power', '', 'nt', 'make', 'laugh', '', 'cri', '', '']",-1
166,"['legitim', 'top', '10', 'worst', 'movi', 've', 'ever', 'seen']",-1
167,"['good', 'popcorn', 'fun', 'big', 'screen', 'rendit', 'midseventi', 'tv', 'seri']",1
168,"['second', 'life', '', 'second', 'chanc']",1
169,"['great', 'film']",1
170,"['mindless', 'actionlittl', 'plot']",-1
171,['unforgett'],0
172,"['entertain', '', 'noth', 'nt', 'seen']",-1
173,"['one', 'best', 'war', 'movi', 'ever', 'made']",0
174,"['fast', '', 'furiou', '6', 'best', 'film', 'franchis', 'love', 'death', '']",1
175,"['find', 'movi', 'guilti', 'masterpiec', '']",0
176,"['plastic', 'fantast', '', 'bore', 'unbeliev']",-1
177,"['m', 'contrarian', '']",-1
178,"['disney', 'desper', 'pander', 'toward', 'metacommentari', 'pop', 'refer', 'crowd', 'still', 'ca', 'nt', 'stop', 'full']",-1
179,"['yeah', '', 'nah', '']",-1
180,"['turn', 'bond']",0
181,"['king', 'hundr', 'jester']",1
182,"['excel', 'gut', 'bust', 'humor', 'sensit', 'folk', 'stick', 'pg', 'pc']",1
183,"['blue', 'brother', 'god', 's', 'servic', 'cop', 'neonazi', '', '', '']",1
184,"['mechan', '', 'uninspir']",-1
185,"['marvel', 'tale', 'likabl', 'jewish', 'protect', 'son', 'wife', 'horrifi', 'concentr', 'camp']",-1
186,"['watch', 'imax', 'version']",0
187,"['pueril', 'comedi', 'slapstick', '', 'love', '']",1
188,"['comic', 'bad']",-1
189,"['lot', 'stuff', 'happend', 'end']",0
190,"['much', 'cgi', 'annoy', 'joke']",-1
191,"['counsel', 'counselor']",0
192,"['one', 'purist']",-1
193,"['either', 'rais', 'lower', 'bar', 'filth']",0
194,"['suspens', '', 'thrill', 'wellpac', 'underwat', 'adventur', 'diver', 'locat', 'shipwreck', 'treasur', 'drug']",1
195,"['sure', 'fan', 'favorit', '', 'full', 'classic', 'crime', 'fight', 'battl', 'well', 'heartfelt', 'messag']",1
196,['fun'],1
197,"['hell', '', 'blue', 'brother', '', 'the', 'top', '250', '', '']",1
198,"['', 'm', 'convict', 'murder', 'provid', 'sound', 'financi', 'plan', '', '']",1
199,"['movi', 'good', 'kill', 'time', '']",0
200,"['soul', '', 'purpos', '', 'fun', '']",-1
201,"['watchabl', 'big', 'budget', 'hollywood', 'action', '', 'pass', 'time', 'suppos', '']",0
202,"['good', 'origin', 'stori']",-1
203,['classic'],1
204,"['cryptic', 'nothing', '', 'empti', 'personifi', '', 'empti', 'vacant', 'room', 'lost', 'littl', 'repect', 'still', 'megan', 'fox', '']",-1
205,"['spilzman', '', 'beauti', 'name', 'pianist', '']",0
206,"['one', '', 'blue', 'brother']",1
207,"['', 'long', '', 'still', 'manag', 'one', 'funniest', 'quotabl', 'comedi', 'ever']",1
208,"['yawn', '', 'blood', '', 'yawn', '', 'gore', '', 'yawn', '']",-1
209,"['got', 'dizzi', 'watch', 'movi']",-1
210,"['funni', 'hint', 'unpredict']",1
211,"['storywis', 'mediocr', 'movi', '', 'stunt', 'sceneri', 'make', '1', 'hour', '45', 'minut', 'worth', 'watch', 'us', 'enjoy', 'sort', 'thing', '']",0
212,"['realli', 'fun', '', '', '']",0
213,"['webhead', '']",-1
214,"['bore', 'action', 'film', 'person']",-1
215,"['nice', 'car', '']",1
216,"['nonstop', 'gag', '']",1
217,"['gi', 'origin']",0
218,"['lisbeth', 'saland', '', 'righter', 'wrong', '', 'girl', 'dragon', 'tattoo', '']",0
219,"['way', 'batman', 's', 'origin', 'meant', 'told']",1
220,['underr'],1
221,"['ateam', '', 'good', 'bmovi']",1
222,['piti'],-1
223,"['toretto', 'start', 'play', 'rocket', 'leagu', 'middl', 'itali', '']",0
224,"['ryan', 'reynold', 'jeff', 'bridg', 'definit', 'nt', 'make', 'team', 'smith', 'tommi', 'lee', 'jone', '', 'found', 'movi', 'fun', 'enjoy', '']",-1
225,"['like', 'brilliant', 'fourpart', 'episod', 'seri', '', 'lot', 'person', 'wound', 'reveal', '', 'joker', 'boot', '']",1
226,"['excel', 'cinematographyfun', 'remak', '']",1
227,"['into', 'blue', '', 'manag', 'creat', 'excit', 'caribbean', 'vibe', 'stretch', 'popcorn', 'thriller', 'work']",1
228,"['turn', 'real', 'poor', 'thing', 'audienc', 'along', '']",-1
229,"['first', 'great', 'anim', 'batman', 'movi', '']",1
230,"['recent', 'turn', '30', 'day', 'ago', 'realli', 'enjoy', 'leagu', 'superpet']",1
231,"['ripd', 'review']",0
232,"['good', 'see', 'megan', 'fox', '']",1
233,"['piti', 'fool', 'nt', 'enjoy', 'film']",1
234,"['s', '', 'fine', '']",0
235,"['batman', '', 'mask', 'underr', 'classic']",1
236,"['villeneuv', 'epic']",0
237,"['poor', 'audienc', '']",-1
238,"['alltim', 'great', 'scienc', 'fiction', 'movi']",-1
239,"['epic', '', 'master', 'look', 'underground', 'world']",1
240,"['fun', 'movi', 'watch', '']",1
241,"['hail', '', 'hail', 'gang', 's', '', 'minu', 'one']",1
242,['lack'],-1
243,"['big', 'movi', 'fun', 'time', '']",1
244,"['world', 'playground']",1
245,"['re', 'mission', '']",0
246,"['die', 'hard', '', 'continu', 'influenc', 'day', '']",1
247,"['comeon', 'peopl', 's', 'statham', 'movi', '']",1
248,"['slow', '', 'overlong', '', 'clich']",0
249,"['absolut', 'trash']",-1
250,"['funni', 'excit', '', 'wonder', 'flop']",-1
251,"['good', 'enough', '', 'man', '']",-1
252,"['sadli', 'disappoint', '', 'hollow', 'remnant', 'franchis', '', '', '']",-1
253,"['anoth', 'enjoy', 'enola', 'tale', '']",1
254,"['', 'nt', 'pessimist', '', '', 'cool', 'dialog', '']",0
255,"['messi', '', 'weak', 'lack', 'seriou', 'impact', 'seriou', 'crisi', '']",-1
256,"['anoth', 'winner', 'fincher']",1
257,"['seal', 'frisk']",1
258,"['must', 'watch']",0
259,"['tangl', 'spider', 's', 'web']",-1
260,"['myer', 'excel', 'job', 'differ', 'charact']",1
261,"['worst', 'movi', 'ever', 'soni', 'pleas', 'stop', 'stick', 'playstat', '']",-1
262,"['perfect', 'popcorn', 'movi']",1
263,"['need', 'stop']",-1
264,"['bore', 'mediocr']",-1
265,"['requir', 'view']",0
266,"['icon', 'film']",1
267,"['charli', 'would', 'approv', '']",1
268,"['greatest', 'comedi', 'time', '', 'period', '']",1
269,"['best', 'anim', 'film', 'seen', '']",0
270,"['wast', 'opportun']",-1
271,"['nt', 'get', 'wors']",-1
272,['overappreci'],0
273,['disappoint'],-1
274,"['greatest', 'three', 'ring']",0
275,"['silli', '', 'bore', '', 'chaotic', '']",-1
276,['inarticul'],-1
277,"['everyon', 'look', 'pain']",-1
278,"['greatest', 'spiderman', 'film', 'ever', '']",0
279,"['unexpect', 'plot', 'twist', 'end']",1
280,"['greatest', 'comedi', 'ever', 'made', '', 'period', '']",1
281,"['would', 'chang', 'end', '', 'best', 'part', 'book', '', '']",-1
282,"['s', 'hard', 'like', 'girl']",1
283,"['liam', 'gallagh', 's', 'best', 'role', 'date', '']",1
284,"['terribl', '', 'water', 'action', 'film']",0
285,"['like', 'bad', 'tv', 'version', 'da', 'vinci', 'code']",-1
286,"['love', 'good', '', 'game', 'night', '', '']",1
287,"['m', 'sure', 'guinea', 'pig', 'could', 'make', 'anyon', '', '', '']",0
288,"['s', 'offici', 'christma', 'season', 'watch', 'movi']",0
289,"['fantast', 'cast', 'complet', 'wast', 'stupid', 'stori']",-1
290,['icon'],0
291,"['nt', 'expect', 'shakespear', '', 'take', 'sunglass']",0
292,"['amaz', 'begin', 'trilog', '', 'amaz', 'end', 'movi', '']",0
293,"['edg', 'seat', 'thriller']",1
294,"['done', 'done', 'better']",-1
295,"['shawshank', 'redempt']",1
296,"['suppos', 'root', 'snake', 'eye', '']",-1
297,"['memor', 'charact', 'one', 'best', 'action', 'movi', 'time']",0
298,"['ultim', 'backfir']",0
299,"['nt', 'listen', 'bad', 'review', '', 'pretti', 'good', 'comedi']",1
300,"['quit', 'swedish', 'qualiti']",-1
301,"['absolut', 'brilliant', '']",1
302,"['greatest', 'movi', 'time', '']",1
303,"['circl', 'quit', 'golden', '', 'nt', 'collaps']",0
304,"['terribl', 'actual', 'funni']",-1
305,"['prepar', 'move']",1
306,"['one', 'penetr', 'film', 'past', 'sever', 'year', '', '', '', '', '', '', '', '', '']",0
307,"['lesser', 'sequel']",-1
308,"['lanthimo', 'charm']",0
309,"['famili', 's', 'best', 'friend', 'fun', 'movi', 'go']",1
310,"['rest', 'peac', '', 'michael', 'clark', 'duncan', '', 'legend', '']",0
311,"['pointless', 'retread']",-1
312,"['liff37', '2023', '', '1']",0
313,['great'],0
314,"['perfect', '15', 'yro', 'girl']",1
315,"['weird', 'massiv', 'rate']",0
316,"['fool', '', 'fli', 'fall', 'tank', '']",0
317,"['smile', 'almost', 'time']",1
318,"['vacuou', 'unnecessari']",-1
319,"['love', '']",1
320,"['good', 'action', 'film']",1
321,['averag'],0
322,"['pretti', 'ace', 'film', '']",1
323,"['gritti', 'wellmad', 'action', 'thriller', 'solid', 'lead', 'perform', 'allison', 'janney', 'lead']",1
324,"['worst', 'movi', 'ever']",-1
325,"['go', 'flow']",0
326,"['silli', '', 'quit', 'enjoy', 're', 'mood', '']",0
327,"['piti', 'anyon', 'paid', 'cinema', 'price', 'absurd', 'turkey']",-1
328,"['enola', 'holm']",0
329,['cteam'],0
330,"['probabl', 'worst', 'remak', 'ever']",-1
331,"['man', 'golden', 'pun']",0
332,"['learn', 'hold', 'nerv']",1
333,"['lost', 'potenti', 'midway']",1
334,"['superb', 'difficult', '', 'comic', 'book', 'film']",1
335,"['rain', 'nt', 'left', 'africa', '']",0
336,"['wildli', 'hitormiss']",0
337,"['shoddi', 'film', '', 'bad', 'cast', '', 'disrespect', 'sourc', 'materi']",-1
338,"['worst', 'mainstream', 'movi', 'loooong', 'time']",0
339,"['hitchcock', 'scariest']",0
340,['chad'],1
341,"['somewhat', 'gener', 'predict', '', 'still', 'enjoy', '']",1
342,"['monument', 'stupid', '']",-1
343,"['shockingli', 'disappoint', 'final', '', 'taken', '3', '', 'disgrac', 'star', 'liam', 'neeson', 'appal', 'display', 'inept', 'director', 'olivi', 'megaton']",-1
344,"['surprisingli', 'funni']",1
345,"['one', 'greatest', 'movi', 'time']",0
346,"['need', 'sequel', '', 'movi', 'surviv', 'time', 'test', '', 'joy', 'watch', 'even', 'year']",1
347,"['life', 'hand', 'boom', 'boom', 'lemon']",1
348,"['hate', 'movi', '', 'let', 'count', 'way', '']",-1
349,"['dune', 'endless', 'desert', '']",-1
350,"['mr', 'mojo', 'rise']",1
351,"['counselor', '', 'shakespearean', 'tragedi', 'greed', 'desper', '']",-1
352,"['', 'think', 'destin', 'forev', '', '']",0
353,"['', 'come', '', 'let', 's', 'one', 'big', 'adventur', '', '']",0
354,"['suspens', 'edg', 'seat', 'ever', 'turn']",1
355,"['good', 'movi']",1
356,"['', 'go', 'prison', 'learn', 'crook', '']",1
357,"['plenti', 'action', '', 'good', 'photographi', '']",1
358,"['great', 'look', '', 'dull', 'dishwat', '']",0
359,"['s', 'origin', 'film', '', 'origin', 'miss', '']",-1
360,"['better', 'attempt', 'quit']",-1
361,"['critiqu', 'critic']",1
362,"['lot', 'fun', '']",1
363,"['speed', '2', 'lost', 'control']",-1
364,"['wors', 'morbiu']",0
365,"['aw', 'camera', '', 'edit', 'direct', 'senseless', 'plot']",-1
366,"['poor', 'copi', 'kurt', 'russel', 's', 'movi', '', 'breakdown', '']",1
367,"['anoth', 'unorgin', 'netflix', 'origin']",-1
368,"['agent', '47']",0
369,"['ye', '', 's', 'loud', 's', 'incred', 'comedi', 'classic']",1
370,"['amazingli', 'faster', 'furiou', 'ever']",1
371,"['definit', 'interest', 'suspens', 'movi', '', 'lack', 'brillianc', 'hope', '']",1
372,"['godfath', 'make', 'offer', 'refus', '', 'movi', 'masterpiec', '']",1
373,"['star', '', 'jennif', 'garner', '', 'make', 'worthwhil']",1
374,['predict'],-1
375,"['well', 'made', 'action', 'movi', 'air', 'mystiqu']",1
376,"['decent', 'film', 'quiet', 'night']",1
377,"['grim', 'disturb', 'ca', 'nt', 'stop', 'watch']",0
378,"['hot', 'chick', '', 'fast', 'car', '', 'violenc']",0
379,"['third', 'time', 's', 'golden', '', 'babi']",0
380,"['funniest', 'movi', 'time']",1
381,"['charli', 's', 'angel']",0
382,"['funniest', 'move', 'year', 'kill', 'bad', 'market', 'poor', 'studio', 'choic']",1
383,"['lame', '', 'forc', 'comedi', 'fill', 'instantli', 'forgett', 'sequel']",-1
384,"['superior', 'sequel']",1
385,"['visual', 'masterpiec', '2023']",0
386,"['aww', 'yeah', '', 'one', 'best', '']",1
387,"['would', 'expect', '']",1
388,['underr'],1
389,"['hilari', '']",1
390,"['read', 'book', 'know', 'expect', 'exactli', '', 'love', '']",0
391,"['cheaper', 'way', 'get', 'sleep']",-1
392,"['sherlock', 'holm', 'fan', '', 'bad', 'either', '']",0
393,"['familiar', 'assassin', '', 'reveng', 'movi', '', 'work', '']",-1
394,"['ye', '', 've', 'seen', '', 'still', 'edg', 'seat', 'suspens', 'anxieti', '']",-1
395,"['amazingli', 'incoher']",-1
396,"['water', 'version', '', '13', 'sin', '']",-1
397,"['comedi', 'classic', 'still', 'hold', '']",1
398,"['good', 'concept', 'poor', 'film']",-1
399,"['keep', 'get', 'worst', 'worst', '']",-1
400,"['wonder', 'film']",0
401,"['start', 'well', 'get', 'bore']",1
402,"['s', 'bonker', '']",-1
403,"['jennif', 'garner', 'spectacular', 'elektra', '', 'bob', 'sapp', 'rule', '', '']",1
404,"['music', 'video', 'entertain']",-1
405,"['', 'definit', 'film']",1
406,"['matthew', 'maketh', 'mess', '']",-1
407,"['s', 'almost', 'though', 'made', 'terribl', 'movi', 'purpos', '']",-1
408,"['stori', '', '', 'oh', 'predict', '']",-1
409,"['simpli', 'known', '', 'movi', '']",1
410,"['fool', 'number', '1', 'netflix', '']",0
